timestamp,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,water_temp,setpoint_temp,mode,heater_on
2025-10-03T17:16:42.780314,100,63,43,73,73,74,36,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:43.779927,100,63,43,73,73,74,37,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:44.780336,100,63,43,73,73,74,38,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:45.782494,100,63,43,73,73,74,39,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:48.043946,100,63,43,73,73,74,40,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:48.047583,100,63,43,73,73,74,41,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:48.780508,100,63,43,73,73,74,42,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:49.780164,100,63,43,73,73,74,43,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:50.781413,100,63,43,73,73,74,44,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:51.785059,100,63,43,73,73,74,45,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:52.780765,100,63,43,73,73,74,46,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:53.780701,100,63,43,73,73,74,47,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:54.780867,100,63,43,73,73,74,48,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:55.783330,100,63,43,73,73,74,49,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:56.785681,100,63,43,73,73,74,50,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:57.781817,100,63,43,73,73,74,51,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:58.785755,100,63,43,73,73,74,52,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:59.781880,100,63,43,73,73,74,53,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
